id,slug,title,description,status,category,factsDate,startDate,verdictDate,annee_faits,annee_verdict,duree_procedure,sentence,appeal,politician_id,politician_name,politician_slug,party_short,party_name,position_politique,institution,departmentCode,constituency,age_approx,annee_naissance,isCurrent
cmmnbhd9n0003zlv5zz81qg1y,rima-hassan-relaxe-injure-publique-anne-pernelle-richardot,Relaxe pour injure publique envers Anne-Pernelle Richardot,"En novembre 2024, Rima Hassan a qualifie la conseillere municipale PS de Strasbourg Anne-Pernelle Richardot d'""islamophobe assumee"" sur le reseau social X, apres que cette derniere a soutenu l'interdiction d'une conference sur la Palestine a l'Universite de Strasbourg. Poursuivie pour injure publique, Rima Hassan a ete relaxee le 4 mars 2026 par le tribunal correctionnel de Strasbourg, qui a juge que les propos s'inscrivaient dans un debat public entre deux elues sans depasser les limites de la liberte d'expression.",RELAXE,DIFFAMATION,2024-11-01T00:00:00.000Z,Non spécifié,2026-03-04T00:00:00.000Z,2024.0,2026.0,,Non spécifié,False,cmksr6kvq000ra2v58tvsqs4y,Rima Hassan,rima-hassan,LFI,La France insoumise,Non spécifié,Non spécifié,Non spécifié,Non spécifié,33.0,1992.0,Non spécifié
cmmnbhd4j0000zlv5e0rmjewy,eric-zemmour-condamnation-diffamation-patrick-klugman,Condamnation definitive pour diffamation envers Patrick Klugman,"La Cour de cassation a rejete en janvier 2025 le pourvoi d'Eric Zemmour contre sa condamnation pour diffamation envers l'avocat Patrick Klugman, rendant la condamnation definitive. L'affaire portait sur des propos tenus par Zemmour a l'encontre de l'avocat.",CONDAMNATION_DEFINITIVE,DIFFAMATION,Non spécifié,Non spécifié,2025-01-15T00:00:00.000Z,,2025.0,,Non spécifié,False,cmkjtm89x001i9lv543xmi66t,Éric Zemmour,eric-zemmour,REC,Reconquête,Non spécifié,Non spécifié,Non spécifié,Non spécifié,67.0,1958.0,Non spécifié
cmmn9blkq0005j5v5n18c1je3,jordan-bardella-plainte-detournement-fonds-publics-media-training,Plainte pour detournement de fonds publics lies a des prestations de media training,"En 2024, une plainte a ete deposee contre Jordan Bardella pour detournement de fonds publics. L'affaire porte sur l'utilisation de fonds parlementaires europeens pour financer des prestations de media training et de communication personnelle, en dehors du cadre de son mandat de depute europeen. L'enquete preliminaire est en cours pour determiner si ces depenses etaient liees a l'activite parlementaire ou a la promotion personnelle du president du Rassemblement national.",ENQUETE_PRELIMINAIRE,DETOURNEMENT_FONDS_PUBLICS,2023-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z,Non spécifié,2023.0,,,Non spécifié,False,cmksr6uqb005na2v5pguwp1t9,Jordan Bardella,jordan-bardella,RN,Rassemblement National,Non spécifié,Non spécifié,Non spécifié,Non spécifié,30.0,1995.0,Non spécifié
cmmn99f950000snv5rq2gqz40,emmanuel-macron-affaire-mckinsey-information-judiciaire-comptes-de-campagne,Information judiciaire sur les comptes de campagne 2017 et le recours aux cabinets de conseil,"En janvier 2025, le Parquet national financier (PNF) a ouvert une information judiciaire visant des soupcons de financement illegal de la campagne presidentielle de 2017 d'Emmanuel Macron, en lien avec le recours aux cabinets de conseil McKinsey et Accenture. Les investigations portent sur des prestations de conseil qui auraient ete sous-facturees ou non declarees dans les comptes de campagne. L'enquete preliminaire avait ete ouverte en 2022 a la suite du rapport senatorial sur l'influence des cabinets de conseil. Les juges d'instruction examinent les flux financiers entre les cabinets, la campagne, et des intermediaires. Emmanuel Macron beneficie de l'immunite presidentielle pendant la duree de son mandat.",INSTRUCTION,FINANCEMENT_ILLEGAL_CAMPAGNE,2017-04-01T00:00:00.000Z,2022-11-24T00:00:00.000Z,Non spécifié,2017.0,,,Non spécifié,False,cmktqodu30000guv58dd7jbjc,Emmanuel Macron,emmanuel-macron,RE,Renaissance,Non spécifié,Non spécifié,Non spécifié,Non spécifié,48.0,1977.0,Non spécifié
cmmmcvtsd0005wpv5sme66l72,soupcons-emploi-fictif-ministere-economie-2014-2021,Soupcons d'emploi fictif au ministere de l'Economie entre 2014 et 2021,"L'association Anticor a depose le 17 janvier 2025 une plainte avec constitution de partie civile aupres du doyen des juges d'instruction du tribunal judiciaire de Paris. La plainte vise des faits de detournement de fonds, complicite et recel de detournement de fonds. Selon Anticor, Jean-Luc Moudenc a occupe un poste de haut fonctionnaire au ministere de l'Economie entre 2014 et 2021, tout en exercant ses fonctions de maire de Toulouse et de president de Toulouse Metropole, et aurait percu 514 260 euros pour un travail qualifie d'""inexistant"". Deux signalements anterieurs sur les memes faits (a la HATVP et au parquet de Toulouse) avaient ete classes sans suite, Moudenc ayant demontre avoir accompli les formalites requises. Jean-Luc Moudenc qualifie ces accusations d'""attaque politique"" recurrente.",ENQUETE_PRELIMINAIRE,EMPLOI_FICTIF,2014-01-01T00:00:00.000Z,2025-01-17T00:00:00.000Z,Non spécifié,2014.0,,,Non spécifié,False,cmmlazsqn000aksv54429p17s,Jean Luc Moudenc,jean-luc-moudenc,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,65.0,1960.0,Non spécifié
cmmmcvtn20000wpv5w3woseya,soupcons-detournement-fonds-publics-campagne-municipale-2020,Soupcons de détournement de fonds publics lors de la campagne municipale 2020,"Une enquete preliminaire a ete ouverte par le parquet d'Auch en octobre 2025, a la suite d'une plainte de l'association Anticor deposee le 6 juin 2025. L'association accuse le maire de Toulouse d'avoir mobilise des fonctionnaires municipaux, dont son directeur de cabinet et son adjoint, pour travailler sur sa campagne de reelection 2020 pendant leurs heures de service. Les agents auraient utilise des pseudonymes et des adresses email non identifiables pour rediger des discours, preparer des elements de langage et elaborer des notes de campagne sur les ordinateurs de la mairie. Les directeurs de Tisseo (transports publics) et de l'agence d'urbanisme de Toulouse auraient egalement fourni du contenu exploite a des fins electorales. Cinq adjoints au maire sont nommes comme soupconnes de complicite. Une premiere enquete sur les memes faits avait ete classee sans suite en 2023. Jean-Luc Moudenc qualifie ces accusations d'""attaque politique"".",ENQUETE_PRELIMINAIRE,DETOURNEMENT_FONDS_PUBLICS,2019-09-01T00:00:00.000Z,2025-06-06T00:00:00.000Z,Non spécifié,2019.0,,,Non spécifié,False,cmmlazsqn000aksv54429p17s,Jean Luc Moudenc,jean-luc-moudenc,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,65.0,1960.0,Non spécifié
cmm84jc21004q04l4sjig7zvz,jocelyn-dessigny-partage-de-contenus-supremacistes-et-antisemites-par-le-depute-dessigny,Partage de contenus suprémacistes et antisémites par le député Dessigny,"[Jocelyn Dessigny](/politiques/jocelyn-dessigny), député [Rassemblement National](/partis/rassemblement-national) de la 5ème circonscription, est visé par une enquête préliminaire pour partage de contenus à caractère suprémaciste et antisémite. Les faits reprochés concernent des publications partagées sur un compte Facebook contenant des propos suprémacistes, antisémites et nostalgiques du régime de Vichy. Les contenus proviendraient notamment de l'association animée par Alain Soral et du Parti de la France. Cette situation n'est pas isolée : l'élu a déjà été signalé en 2024 pour des faits similaires, constituant une récidive dans ce type de comportement. L'enquête préliminaire a été ouverte pour incitation à la haine basée sur l'origine, la religion ou l'ethnie. Cette affaire intervient dans un contexte où plusieurs élus de son parti ont fait l'objet de poursuites ou de signalements pour des contenus ou propos problématiques. Elle s'ajoute à un précédent dossier impliquant [Jocelyn Dessigny](/politiques/jocelyn-dessigny), l'[affaire des emplois familiaux croisés Dessigny-Ménaché](/affaires/jocelyn-dessigny-emplois-familiaux-croises-dessigny-menache), qui relevait d'une autre nature d'infraction. Sous le régime de la présomption d'innocence, l'enquête est en cours pour déterminer les responsabilités exactes dans la diffusion de ces contenus.",ENQUETE_PRELIMINAIRE,INCITATION_HAINE,Non spécifié,Non spécifié,Non spécifié,,,,Non spécifié,False,cmkjnzwq600cmvtv5n10awcqx,Jocelyn Dessigny,jocelyn-dessigny,RN,Rassemblement National,Non spécifié,Non spécifié,Non spécifié,Non spécifié,44.0,1981.0,Non spécifié
cmm76879000001v21kdvafuo8,raphael-arnault-violences-volontaires-en-reunion-raphael-arnault,Condamnation de Raphaël Arnault pour violences volontaires en réunion,"Raphaël Arnault a été condamné pour des violences volontaires en réunion remontant à 2021. Le tribunal correctionnel de Lyon l'a condamné en février 2022 à 4 mois de prison avec sursis. Après avoir interjeté appel, la condamnation est devenue définitive en 2025, comme confirmé par l'article du Figaro qui indique que ""le député élu sous la bannière du parti désormais classé à l'extrême gauche du champ politique a été définitivement condamné à 4 mois de prison avec sursis au chef de violences volontaires en réunion"". Raphaël Arnault, fondateur de la Jeune Garde et collaborateur parlementaire d'un élu du Vaucluse puis député de la première circonscription du Vaucluse sous la bannière LFI, a toujours démenti les faits.",CONDAMNATION_DEFINITIVE,VIOLENCE,2021-04-24T00:00:00.000Z,Non spécifié,2022-02-18T00:00:00.000Z,2021.0,2022.0,,4 mois de prison avec sursis,False,cmkjo18uj00v8vtv5i5jrui85,Raphaël Arnault,raphael-arnault,LFI,La France insoumise,Non spécifié,Non spécifié,Non spécifié,Non spécifié,30.0,1995.0,Non spécifié
cmlvordal00448av5fjso94gi,martine-froger-instruction-judiciaire-visant-martine-froger-pour-abus-de-confiance-et-travail-dissimule,Instruction judiciaire visant Martine Froger pour abus de confiance et travail dissimulé,"Une information judiciaire a été ouverte le 20 octobre 2025 par le parquet de Toulouse visant Martine Froger, députée de l'Ariège, pour abus de confiance, travail dissimulé, abus de biens sociaux, omission de désignation d'un commissaire aux comptes et manquement aux obligations de déclaration à la Haute Autorité pour la Transparence de la Vie Publique. L'enquête, débutée en février 2025 suite à un signalement de Tracfin, porte sur la gestion de deux associations dont elle était directrice salariée ainsi que de la SASU ""Les jardins d'Occitanie"" entre 2019 et 2025. Des perquisitions ont été effectuées fin novembre 2025 à son domicile et dans des sièges associatifs en Ariège. Le Bureau de l'Assemblée nationale a levé son immunité parlementaire le 18 février 2026 pour permettre la poursuite des investigations. La députée, présumée innocente, affirme coopérer pleinement avec la justice.",INSTRUCTION,ABUS_CONFIANCE,2019-01-01T00:00:00.000Z,Non spécifié,Non spécifié,2019.0,,,Non spécifié,False,cmkjo0rri00omvtv59u29go5i,Martine Froger,martine-froger,PS,Socialistes et apparentés,Non spécifié,Non spécifié,Non spécifié,Non spécifié,64.0,1961.0,Non spécifié
cmlv85kch017eemv51vyyn2ns,eric-zemmour-propos-sur-les-trafiquants-de-crack-senegalais,Affaire des propos sur les trafiquants de crack sénégalais,"[Éric Zemmour](/politiques/eric-zemmour), dirigeant de [Reconquête](/partis/reconquete), est renvoyé en mai 2024 devant la XVIIe chambre correctionnelle du tribunal judiciaire de Paris pour des propos tenus entre 2021 et mars 2022 sur le plateau de CNews. **Les faits** Les déclarations incriminées portent sur les trafiquants de crack et établissent un lien direct avec une origine géographique. En 2021, [Zemmour](/politiques/eric-zemmour) aurait affirmé que « tous les trafiquants de cracks sont des Sénégalais ». Une affirmation similaire a été répétée en mars 2022, déclarant que « la plupart des vendeurs de cracks sont Sénégalais clandestins ». **Procédure** Le renvoi en correctionnelle est intervenu en mai 2024 pour des poursuites visant la catégorie d'incitation à la haine et discrimination. Le tribunal saisi est compétent en matière de délits de presse et de discours. Le procès est en cours au moment de ce bilan. **Contexte** Cette affaire s'inscrit dans une trajectoire judiciaire marquée par d'autres poursuites comparables, notamment une [condamnation antérieure pour provocation à la discrimination raciale (2011)](/affaires/eric-zemmour-condamnation-pour-provocation-a-la-discrimination-raciale-france-o-et-canal-2011) et une [condamnation pour injure raciale (Crépol)](/affaires/eric-zemmour-condamnation-pour-injure-raciale-dans-l-affaire-de-crepol). Sous réserve de présomption d'innocence, les éléments de dossier sont actuellement en instruction.",PROCES_EN_COURS,INCITATION_HAINE,2021-01-01T00:00:00.000Z,2025-12-19T00:00:00.000Z,Non spécifié,2021.0,,,Non spécifié,False,cmkjtm89x001i9lv543xmi66t,Éric Zemmour,eric-zemmour,REC,Reconquête,Non spécifié,Non spécifié,Non spécifié,Non spécifié,67.0,1958.0,Non spécifié
cmlv85k7r017bemv5tbefpcn8,eric-zemmour-accusation-de-diffamation-par-cecile-duflot-pour-des-propos-sur-l-affaire-baupin,Accusation de diffamation par Cécile Duflot pour des propos sur l'affaire Baupin,"[Éric Zemmour](/politiques/eric-zemmour), alors intellectuel et chroniqueur, a été poursuivi en diffamation suite à des déclarations publiques concernant l'affaire Denis Baupin et la couverture médiatique de celle-ci. **Contexte et faits** En mai 2016, le site Mediapart publie une enquête révélant des accusations de harcèlement et d'agressions sexuelles contre Denis Baupin, figure historique de La France Insoumise et ancien vice-président de l'Assemblée nationale. Cette publication suscite une controverse publique sur les modalités de révélation. Le 12 mai 2016, lors d'une intervention sur RTL, Zemmour affirme que Mediapart a violé les règles de respect de la vie privée en diffusant les échanges de Baupin. Il allègue également que les journalistes de Mediapart agissent comme « instruments de la vengeance » de Cécile Duflot, ancienne ministre de l'Égalité des territoires, contre Emmanuelle Cosse, autre figure politique écologiste. **Procédure judiciaire** Cécile Duflot, estimant ses paroles diffamatoires, engage des poursuites en justice. L'affaire est jugée devant le tribunal correctionnel de Paris. **Verdict** Le 6 février 2018, le tribunal relaxe Éric Zemmour, jugeant que ses allégations ne constituent pas des imputations de faits précis et déterminés à caractère diffamatoire. La relaxe reconnaît le caractère d'appréciation critique de ses propos, relevant davantage du débat public que de l'imputation factuelle.",RELAXE,DIFFAMATION,2016-05-12T00:00:00.000Z,Non spécifié,2018-02-06T00:00:00.000Z,2016.0,2018.0,,Non spécifié,False,cmkjtm89x001i9lv543xmi66t,Éric Zemmour,eric-zemmour,REC,Reconquête,Non spécifié,Non spécifié,Non spécifié,Non spécifié,67.0,1958.0,Non spécifié
cmlv85k37016temv5cfa7c6y7,eric-zemmour-propos-sur-petain-sauveur-des-juifs-francais,Affaire des propos sur Pétain « sauveur des Juifs français »,"[Éric Zemmour](/politiques/eric-zemmour), dirigeant de [Reconquête](/partis/reconquete), est poursuivi pour contestation de crime contre l'humanité suite à ses propos tenus le 14 octobre 2019 dans l'émission Face à l'info, affirmant que « Pétain avait sauvé les juifs français ». Ces déclarations concernent la politique de collaboration du régime de Vichy envers l'occupation nazi et sa responsabilité dans la déportation de plus de 75 000 juifs de France. La première instance a prononcé une relaxe en février 2021, confirmée en appel en mai 2022. Cependant, la Cour de cassation a cassé cette décision en septembre 2023, estimant que les juges n'avaient pas correctement qualifié les éléments constitutifs de l'infraction, et a ordonné un nouveau procès. Le 2 avril 2025, la cour d'appel de Paris a condamné [Éric Zemmour](/politiques/eric-zemmour) à 10 000 euros d'amende pour contestation de crime contre l'humanité. L'intéressé a annoncé immédiatement se pourvoir en cassation, ce qui maintient le dossier en voie de recours. Sous réserve de confirmation en cassation, cette condamnation s'inscrit dans un contexte judiciaire plus large concernant ce politicien, incluant d'autres poursuites pour provocation à la discrimination et à la haine.",CONDAMNATION_PREMIERE_INSTANCE,AUTRE,2019-10-14T00:00:00.000Z,Non spécifié,2025-04-15T00:00:00.000Z,2019.0,2025.0,,10 000 € d'amende pour contestation de crime contre l'humanité,True,cmkjtm89x001i9lv543xmi66t,Éric Zemmour,eric-zemmour,REC,Reconquête,Non spécifié,Non spécifié,Non spécifié,Non spécifié,67.0,1958.0,Non spécifié
cmlv85jyh016oemv5eivrc9qa,eric-zemmour-condamnation-pour-injure-raciale-dans-l-affaire-de-crepol,Condamnation pour injure raciale dans l'affaire de Crépol,"Le 30 novembre 2023, lors d'une interview en direct sur RMC et BFMTV, Éric Zemmour réagit au meurtre de Thomas Perotto à Crépol en déclarant : « Nous avons aujourd'hui une situation où nous avons deux peuples, deux France, deux jeunesses, celle de Thomas, celle de Chahid ». Il reproche aux « médias » et au « gouvernement » un « écran de fumée » par rapport « au meurtre de Thomas » et aux « dizaines de morts de la main des racailles arabo-musulmanes ». Le 26 mars 2025, le tribunal correctionnel de Paris le condamne à une amende de 9 000 euros pour injure raciale. Le tribunal souligne qu'il tient un « discours essentialiste en déduisant l'origine des individus des prénoms qu'ils portent » et « désigne comme assassins les personnes d'origine arabe et de confession musulmane qu'il traite de racailles ». Éric Zemmour fait appel de cette condamnation.",APPEL_EN_COURS,INCITATION_HAINE,2023-11-30T00:00:00.000Z,Non spécifié,2025-03-26T00:00:00.000Z,2023.0,2025.0,,"9 000 euros d'amende, pouvant donner lieu à incarcération en cas de non-paiement",True,cmkjtm89x001i9lv543xmi66t,Éric Zemmour,eric-zemmour,REC,Reconquête,Non spécifié,Non spécifié,Non spécifié,Non spécifié,67.0,1958.0,Non spécifié
cmlv85jtz016eemv5monnp7xl,eric-zemmour-diatribe-anti-immigration-de-2019,Affaire de la diatribe anti-immigration de 2019,"En septembre 2019, Éric Zemmour tient un discours lors de la convention de la droite avec des propos contre les musulmans et l'immigration. Le tribunal judiciaire de Paris le condamne en première instance en septembre 2020 à 10 000 euros d'amende pour injure et provocation à la haine. Relaxé en appel en 2021, sa relaxe est annulée par la Cour de cassation en février 2023. Rejugé en appel en février 2024, il est condamné à 15 000 euros d'amende pour provocation à la haine contre les migrants et les mineurs isolés et injures publiques. La Cour de cassation confirme cette condamnation en septembre 2025.",CONDAMNATION_DEFINITIVE,INCITATION_HAINE,2019-09-01T00:00:00.000Z,Non spécifié,2025-09-16T00:00:00.000Z,2019.0,2025.0,,15 000 € d'amende pour provocation à la haine raciale et injures racistes,False,cmkjtm89x001i9lv543xmi66t,Éric Zemmour,eric-zemmour,REC,Reconquête,Non spécifié,Non spécifié,Non spécifié,Non spécifié,67.0,1958.0,Non spécifié
